 release_year |                                                                            title                                                                             |    budget    
         2011 | 247°F (2011)                                                                                                                                                 |    650000.00
         2011 | 51 (2011)                                                                                                                                                    |   1000000.00
         2011 | Alien vs. Ninja (2010)                                                                                                                                       |    600000.00
         2011 | Antfarm Dickhole (2011)                                                                                                                                      |      6000.00
         2011 | Apollo 18 (2011)                                                                                                                                             |   5000000.00
         2011 | Baby Shower (2011)                                                                                                                                           |    900000.00
         2011 | Camp Hell (2010)                                                                                                                                             |   3000000.00
         2011 | Claypot Curry Killers (2011)                                                                                                                                 |    300000.00
         2011 | Coffin (2011)                                                                                                                                                |    600000.00
         2011 | Crash Site (2011)                                                                                                                                            |   1000000.00
         2011 | Creature (2011)                                                                                                                                              |   3000000.00
         2011 | Deadball (2011)                                                                                                                                              |    600000.00
         2011 | Entrei em Pânico ao Saber o que Vocês Fizeram na Sexta-feira 13 do Verão Passado Parte 2 - A Hora da Volta da Vingança dos Jogos Mortais de Halloween (2011) |      1500.00
         2011 | Exit 33 (2011)                                                                                                                                               |   1000000.00
         2011 | Forget Me Not (2009)                                                                                                                                         |   1300000.00
         2011 | Gantz (2010)                                                                                                                                                 |  22000000.00
         2011 | Gantz: Perfect Answer (2011)                                                                                                                                 |  22000000.00
         2011 | Giallo (2009)                                                                                                                                                |  14000000.00
         2011 | Helldriver (2010)                                                                                                                                            |    600000.00
         2011 | Hellgate (2011)                                                                                                                                              |   5000000.00
         2011 | Hidden 3D (2011)                                                                                                                                             |   8000000.00
         2011 | Hobo with a Shotgun (2011)                                                                                                                                   |   3000000.00
         2011 | Intruders (2011)                                                                                                                                             |  13000000.00
         2011 | Jacob (2011)                                                                                                                                                 |    900000.00
         2011 | Livid (2011)                                                                                                                                                 |   5000000.00
         2011 | Make-Out with Violence (2008)                                                                                                                                |    150000.00
         2011 | Maleficarum (2011)                                                                                                                                           |    105000.00
         2011 | Mother's Day (2010)                                                                                                                                          |  11000000.00
         2011 | Needle (2010)                                                                                                                                                |   3000000.00
         2011 | Night of the Demons (2009)                                                                                                                                   |  10000000.00
         2011 | Paranormal Activity 3 (2011)                                                                                                                                 |   5000000.00
         2011 | Priest (2011)                                                                                                                                                |  60000000.00
         2011 | Quarantine 2: Terminal (2011)                                                                                                                                |   4000000.00
